Account Number,Owner,New Owner,,,,,,,,,,,,,
A10658,25,26,,,,,,,,,,,,,
A10239,23,24,,,,,,,,,,,,,
A10521,3,5,,,,,,,,,,,,,
A10743,29,29,,,,,,,,,,,,,
A10376,18,19,,,,,,,,,,,,,
A10140,25,26,,,,,,,,,,,,,
A10420,25,26,,,,,,,,,,,,,
A10384,29,29,,,,,,,,,,,,,
A10205,23,24,,,,,,,,,,,,,
A10031,9,11,,,,,,,,,,,,,
A10445,25,26,,,,,,,,,,,,,
A10399,25,26,,,,,,,,,,,,,
A10472,25,26,,,,,,,,,,,,,
A10373,18,19,,,,,,,,,,,,,
A10476,25,26,,,,,,,,,,,,,
A10436,25,26,,,,,,,,,,,,,
A10104,25,26,,,,,,,,,,,,,
A10108,25,26,,,,,,,,,,,,,
A10651,25,26,,,,,,,,,,,,,
A10068,9,11,,,,,,,,,,,,,
A10581,23,24,,,,,,,,,,,,,
A10310,7,9,,,,,,,,,,,,,
A10664,25,26,,,,,,,,,,,,,
A10052,9,11,,,,,,,,,,,,,
A10085,9,11,,,,,,,,,,,,,
A10386,7,9,,,,,,,,,,,,,
A10410,9,11,,,,,,,,,,,,,
A10419,9,11,,,,,,,,,,,,,
A10385,29,29,,,,,,,,,,,,,
A10155,25,26,,,,,,,,,,,,,
A10638,22,23,,,,,,,,,,,,,
A10344,23,24,,,,,,,,,,,,,
A10774,7,9,,,,,,,,,,,,,
A10415,25,26,,,,,,,,,,,,,
A10360,25,26,,,,,,,,,,,,,
A10404,23,24,,,,,,,,,,,,,
A10021,23,24,,,,,,,,,,,,,
A10030,23,24,,,,,,,,,,,,,
A10426,9,11,,,,,,,,,,,,,
A10311,9,11,,,,,,,,,,,,,
A10114,25,26,,,,,,,,,,,,,
A10617,23,24,,,,,,,,,,,,,
A10706,23,24,,,,,,,,,,,,,
A10505,23,24,,,,,,,,,,,,,
A10630,23,24,,,,,,,,,,,,,
A10605,23,24,,,,,,,,,,,,,
A10247,23,24,,,,,,,,,,,,,
A10749,22,23,,,,,,,,,,,,,
A10045,9,11,,,,,,,,,,,,,
A10666,18,19,,,,,,,,,,,,,
A10449,25,26,,,,,,,,,,,,,
A10448,7,9,,,,,,,,,,,,,
A10613,25,26,,,,,,,,,,,,,
A10607,25,26,,,,,,,,,,,,,
A10111,25,26,,,,,,,,,,,,,
A10512,28,28,,,,,,,,,,,,,
A10464,25,26,,,,,,,,,,,,,
A10685,23,24,,,,,,,,,,,,,
A10702,25,26,,,,,,,,,,,,,
A10800,23,24,,,,,,,,,,,,,
A10402,25,26,,,,,,,,,,,,,
A10408,23,24,,,,,,,,,,,,,
A10726,22,23,,,,,,,,,,,,,
A10176,25,26,,,,,,,,,,,,,
A10337,25,26,,,,,,,,,,,,,
A10573,23,24,,,,,,,,,,,,,
A10771,15,16,,,,,,,,,,,,,
A10389,29,29,,,,,,,,,,,,,
A10374,18,19,,,,,,,,,,,,,
A10446,18,19,,,,,,,,,,,,,
A10113,23,24,,,,,,,,,,,,,
A10226,25,26,,,,,,,,,,,,,
A10298,7,9,,,,,,,,,,,,,
A10100,25,26,,,,,,,,,,,,,
A10494,18,19,,,,,,,,,,,,,
A10574,25,26,,,,,,,,,,,,,
A10479,22,23,,,,,,,,,,,,,
A10419,25,26,,,,,,,,,,,,,
A10118,7,9,,,,,,,,,,,,,
A10002,23,24,,,,,,,,,,,,,
A10152,25,26,,,,,,,,,,,,,
A10625,23,24,,,,,,,,,,,,,
A10522,29,29,,,,,,,,,,,,,
A10718,25,26,,,,,,,,,,,,,
A10578,22,23,,,,,,,,,,,,,
A10687,18,19,,,,,,,,,,,,,
A10364,23,24,,,,,,,,,,,,,
A10342,22,23,,,,,,,,,,,,,
A10280,23,24,,,,,,,,,,,,,
A10635,29,29,,,,,,,,,,,,,
A10123,15,16,,,,,,,,,,,,,
A10395,29,29,,,,,,,,,,,,,
A10274,25,26,,,,,,,,,,,,,
A10799,7,9,,,,,,,,,,,,,
A10380,18,19,,,,,,,,,,,,,
A10348,18,19,,,,,,,,,,,,,
A10517,23,24,,,,,,,,,,,,,
A10813,23,24,,,,,,,,,,,,,
A10423,25,26,,,,,,,,,,,,,
A10401,29,29,,,,,,,,,,,,,
A10767,7,9,,,,,,,,,,,,,
A10503,18,19,,,,,,,,,,,,,
A10502,29,29,,,,,,,,,,,,,
A10764,29,29,,,,,,,,,,,,,
A10231,18,19,,,,,,,,,,,,,
A10425,18,19,,,,,,,,,,,,,
A10413,22,23,,,,,,,,,,,,,
A10483,25,26,,,,,,,,,,,,,
A10341,22,23,,,,,,,,,,,,,
A10093,9,11,,,,,,,,,,,,,
A10459,29,29,,,,,,,,,,,,,
A10235,25,26,,,,,,,,,,,,,
A10189,25,26,,,,,,,,,,,,,
A10523,29,29,,,,,,,,,,,,,
A10288,23,24,,,,,,,,,,,,,
A10580,29,29,,,,,,,,,,,,,
A10342,29,29,,,,,,,,,,,,,
A10357,9,11,,,,,,,,,,,,,
A10648,9,11,,,,,,,,,,,,,
A10740,15,16,,,,,,,,,,,,,
A10555,23,24,,,,,,,,,,,,,
A10515,23,24,,,,,,,,,,,,,
A10382,29,29,,,,,,,,,,,,,
A10796,25,26,,,,,,,,,,,,,
A10482,9,11,,,,,,,,,,,,,
A10049,9,11,,,,,,,,,,,,,
A10263,15,16,,,,,,,,,,,,,
A10480,25,26,,,,,,,,,,,,,
A10705,25,26,,,,,,,,,,,,,
A10042,9,11,,,,,,,,,,,,,
A10254,25,26,,,,,,,,,,,,,
A10445,9,11,,,,,,,,,,,,,
A10397,23,24,,,,,,,,,,,,,
A10632,15,16,,,,,,,,,,,,,
A10784,23,24,,,,,,,,,,,,,
A10785,23,24,,,,,,,,,,,,,
A10422,25,26,,,,,,,,,,,,,
A10378,25,26,,,,,,,,,,,,,
A10691,25,26,,,,,,,,,,,,,
A10570,23,24,,,,,,,,,,,,,
A10703,25,26,,,,,,,,,,,,,
A10810,9,11,,,,,,,,,,,,,
A10790,23,24,,,,,,,,,,,,,
A10736,23,24,,,,,,,,,,,,,
A10441,15,16,,,,,,,,,,,,,
A10276,25,26,,,,,,,,,,,,,
A10164,25,26,,,,,,,,,,,,,
A10403,25,26,,,,,,,,,,,,,
A10443,7,9,,,,,,,,,,,,,
A10428,18,19,,,,,,,,,,,,,
A10421,25,26,,,,,,,,,,,,,
A10700,25,26,,,,,,,,,,,,,
A10812,23,24,,,,,,,,,,,,,
A10380,23,24,,,,,,,,,,,,,
A10455,25,26,,,,,,,,,,,,,
A10480,7,9,,,,,,,,,,,,,
A10406,18,19,,,,,,,,,,,,,
A10167,25,26,,,,,,,,,,,,,
A10544,23,24,,,,,,,,,,,,,
A10501,29,29,,,,,,,,,,,,,
A10317,9,11,,,,,,,,,,,,,
A10275,9,11,,,,,,,,,,,,,
A10482,9,11,,,,,,,,,,,,,
A10185,25,26,,,,,,,,,,,,,
A10717,25,26,,,,,,,,,,,,,
A10436,9,11,,,,,,,,,,,,,
A10540,23,24,,,,,,,,,,,,,
A10571,29,29,,,,,,,,,,,,,
A10815,8,10,,,,,,,,,,,,,
A10653,18,19,,,,,,,,,,,,,
A10652,25,26,,,,,,,,,,,,,
A10331,23,24,,,,,,,,,,,,,
A10458,23,24,,,,,,,,,,,,,
A10769,22,23,,,,,,,,,,,,,
A10803,29,29,,,,,,,,,,,,,
A10491,23,24,,,,,,,,,,,,,
A10497,23,24,,,,,,,,,,,,,
A10568,23,24,,,,,,,,,,,,,
A10746,9,11,,,,,,,,,,,,,
A10437,25,26,,,,,,,,,,,,,
A10438,25,26,,,,,,,,,,,,,
A10531,25,26,,,,,,,,,,,,,
A10547,9,11,,,,,,,,,,,,,
A10165,15,16,,,,,,,,,,,,,
A10187,23,24,,,,,,,,,,,,,
A10529,23,24,,,,,,,,,,,,,
A10741,25,26,,,,,,,,,,,,,
A10490,23,24,,,,,,,,,,,,,
A10223,25,26,,,,,,,,,,,,,
A10524,29,29,,,,,,,,,,,,,
A10525,29,29,,,,,,,,,,,,,
A10456,29,29,,,,,,,,,,,,,
A10725,29,29,,,,,,,,,,,,,
A10534,29,29,,,,,,,,,,,,,
A10385,29,29,,,,,,,,,,,,,
A10819,29,29,,,,,,,,,,,,,
A10452,25,26,,,,,,,,,,,,,
A10697,25,26,,,,,,,,,,,,,
A10773,23,24,,,,,,,,,,,,,
A10245,23,24,,,,,,,,,,,,,
A10412,18,19,,,,,,,,,,,,,
A10321,7,9,,,,,,,,,,,,,
A10296,25,26,,,,,,,,,,,,,
A10250,25,26,,,,,,,,,,,,,
A10262,25,26,,,,,,,,,,,,,
A10690,9,11,,,,,,,,,,,,,
A10519,22,23,,,,,,,,,,,,,
A10434,25,26,,,,,,,,,,,,,
A10576,25,26,,,,,,,,,,,,,
A10462,25,26,,,,,,,,,,,,,
A10689,23,24,,,,,,,,,,,,,
A10526,29,29,,,,,,,,,,,,,
A10473,9,11,,,,,,,,,,,,,
A10711,23,24,,,,,,,,,,,,,
A10612,23,24,,,,,,,,,,,,,
A10279,25,26,,,,,,,,,,,,,
A10649,18,19,,,,,,,,,,,,,
A10643,18,19,,,,,,,,,,,,,
A10553,18,19,,,,,,,,,,,,,
A10305,9,11,,,,,,,,,,,,,
A10048,9,11,,,,,,,,,,,,,
A10351,9,11,,,,,,,,,,,,,
A10657,15,16,,,,,,,,,,,,,
A10527,29,29,,,,,,,,,,,,,
A10383,18,19,,,,,,,,,,,,,
A10433,29,29,,,,,,,,,,,,,
A10715,22,23,,,,,,,,,,,,,
A10595,18,19,,,,,,,,,,,,,
A10040,9,11,,,,,,,,,,,,,
A10442,29,29,,,,,,,,,,,,,
A10090,9,11,,,,,,,,,,,,,
A10081,9,11,,,,,,,,,,,,,
A10083,9,11,,,,,,,,,,,,,
A10775,25,26,,,,,,,,,,,,,
A10485,25,26,,,,,,,,,,,,,
A10501,23,24,,,,,,,,,,,,,
A10427,23,24,,,,,,,,,,,,,
A10471,25,26,,,,,,,,,,,,,
A10459,25,26,,,,,,,,,,,,,
A10737,23,24,,,,,,,,,,,,,
A10072,9,11,,,,,,,,,,,,,
A10564,23,24,,,,,,,,,,,,,
A10302,9,11,,,,,,,,,,,,,
A10443,29,29,,,,,,,,,,,,,
A10452,25,26,,,,,,,,,,,,,
A10513,18,19,,,,,,,,,,,,,
A10375,18,19,,,,,,,,,,,,,
A10339,29,29,,,,,,,,,,,,,
A10641,18,19,,,,,,,,,,,,,
A10745,18,19,,,,,,,,,,,,,
A10329,25,26,,,,,,,,,,,,,
A10608,25,26,,,,,,,,,,,,,
A10069,9,11,,,,,,,,,,,,,
A10646,23,24,,,,,,,,,,,,,
A10356,25,26,,,,,,,,,,,,,
A10318,23,24,,,,,,,,,,,,,
A10481,22,23,,,,,,,,,,,,,
A10082,7,9,,,,,,,,,,,,,
A10084,23,24,,,,,,,,,,,,,
A10237,25,26,,,,,,,,,,,,,
A10074,25,26,,,,,,,,,,,,,
A10707,25,26,,,,,,,,,,,,,
A10390,22,23,,,,,,,,,,,,,
A10645,25,26,,,,,,,,,,,,,
A10721,9,11,,,,,,,,,,,,,
A10616,9,11,,,,,,,,,,,,,
A10713,25,26,,,,,,,,,,,,,
A10447,25,26,,,,,,,,,,,,,
A10159,25,26,,,,,,,,,,,,,
A10584,25,26,,,,,,,,,,,,,
A10636,23,24,,,,,,,,,,,,,
A10225,25,26,,,,,,,,,,,,,
A10765,23,24,,,,,,,,,,,,,
A10398,22,23,,,,,,,,,,,,,
A10760,25,26,,,,,,,,,,,,,
A10382,23,24,,,,,,,,,,,,,
A10190,23,24,,,,,,,,,,,,,
A10333,25,26,,,,,,,,,,,,,
A10120,25,26,,,,,,,,,,,,,
A10387,9,11,,,,,,,,,,,,,
A10492,29,29,,,,,,,,,,,,,
A10295,9,11,,,,,,,,,,,,,
A10362,15,16,,,,,,,,,,,,,
A10698,23,24,,,,,,,,,,,,,
A10468,25,26,,,,,,,,,,,,,
A10022,9,11,,,,,,,,,,,,,
A10586,25,26,,,,,,,,,,,,,
A10283,23,24,,,,,,,,,,,,,
A10528,3,5,,,,,,,,,,,,,
A10507,23,24,,,,,,,,,,,,,
A10014,7,9,,,,,,,,,,,,,
A10575,23,24,,,,,,,,,,,,,
A10194,25,26,,,,,,,,,,,,,
A10195,25,26,,,,,,,,,,,,,
A10585,23,24,,,,,,,,,,,,,
A10510,23,24,,,,,,,,,,,,,
A10371,25,26,,,,,,,,,,,,,
A10206,19,20,,,,,,,,,,,,,
A10122,15,16,,,,,,,,,,,,,
A10496,29,29,,,,,,,,,,,,,
,29,29,,,,,,,,,,,,,
A10669,23,24,,,,,,,,,,,,,
A10352,23,24,,,,,,,,,,,,,
A10598,23,24,,,,,,,,,,,,,
A10788,29,29,,,,,,,,,,,,,
A10478,15,16,,,,,,,,,,,,,
A10490,18,19,,,,,,,,,,,,,
A10466,9,11,,,,,,,,,,,,,
A10714,25,26,,,,,,,,,,,,,
A10046,9,11,,,,,,,,,,,,,
A10545,25,26,,,,,,,,,,,,,
A10727,25,26,,,,,,,,,,,,,
A10450,9,11,,,,,,,,,,,,,
A10418,19,20,,,,,,,,,,,,,
A10483,23,24,,,,,,,,,,,,,
A10583,23,24,,,,,,,,,,,,,
A10558,15,16,,,,,,,,,,,,,
A10300,23,24,,,,,,,,,,,,,
A10451,25,26,,,,,,,,,,,,,
A10264,9,11,,,,,,,,,,,,,
A10414,19,20,,,,,,,,,,,,,
A10509,19,20,,,,,,,,,,,,,
A10510,19,20,,,,,,,,,,,,,
A10511,19,20,,,,,,,,,,,,,
A10623,29,29,,,,,,,,,,,,,
A10556,29,29,,,,,,,,,,,,,
A10493,25,26,,,,,,,,,,,,,
A10448,29,29,,,,,,,,,,,,,
A10529,3,5,,,,,,,,,,,,,
A10543,23,24,,,,,,,,,,,,,
A10439,25,26,,,,,,,,,,,,,
A10811,23,24,,,,,,,,,,,,,
A10592,25,26,,,,,,,,,,,,,
A10368,25,26,,,,,,,,,,,,,
A10043,9,11,,,,,,,,,,,,,
A10207,25,26,,,,,,,,,,,,,
A10550,23,24,,,,,,,,,,,,,
A10269,25,26,,,,,,,,,,,,,
A10367,19,20,,,,,,,,,,,,,
A10560,23,24,,,,,,,,,,,,,
A10343,22,23,,,,,,,,,,,,,
A10542,25,26,,,,,,,,,,,,,
A10798,7,9,,,,,,,,,,,,,
A10596,23,24,,,,,,,,,,,,,
A10335,25,26,,,,,,,,,,,,,
A10076,9,11,,,,,,,,,,,,,
A10366,19,20,,,,,,,,,,,,,
A10543,19,20,,,,,,,,,,,,,
A10547,25,26,,,,,,,,,,,,,
A10563,25,26,,,,,,,,,,,,,
A10752,23,24,,,,,,,,,,,,,
A10679,25,26,,,,,,,,,,,,,
A10678,25,26,,,,,,,,,,,,,
A10722,25,26,,,,,,,,,,,,,
A10729,25,26,,,,,,,,,,,,,
A10734,25,26,,,,,,,,,,,,,
A10460,9,11,,,,,,,,,,,,,
A10461,9,11,,,,,,,,,,,,,
A10548,9,11,,,,,,,,,,,,,
A10497,29,29,,,,,,,,,,,,,
A10770,29,29,,,,,,,,,,,,,
A10284,19,20,,,,,,,,,,,,,
A10461,25,26,,,,,,,,,,,,,
A10484,23,24,,,,,,,,,,,,,
A10026,9,11,,,,,,,,,,,,,
A10541,25,26,,,,,,,,,,,,,
A10780,7,9,,,,,,,,,,,,,
A10587,9,11,,,,,,,,,,,,,
A10417,18,19,,,,,,,,,,,,,
A10733,29,29,,,,,,,,,,,,,
A10597,9,11,,,,,,,,,,,,,
A10330,23,24,,,,,,,,,,,,,
A10358,23,24,,,,,,,,,,,,,
A10376,22,23,,,,,,,,,,,,,
A10655,23,24,,,,,,,,,,,,,
A10261,25,26,,,,,,,,,,,,,
A10688,23,24,,,,,,,,,,,,,
A10660,23,24,,,,,,,,,,,,,
A10453,25,26,,,,,,,,,,,,,
A10474,23,24,,,,,,,,,,,,,
